Image Size,Split Size,HOG Params,Normalization Method,SVM Params,Train HOG Time,Validation HOG Time,Test HOG Time,Train Time,Test Time,HOG Accuracy,Test Accuracy
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 1}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0020220279693603516,0.0009708404541015625,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'linear', 'C': 10}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0019850730895996094,0.000997304916381836,0.5,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.0009975433349609375,0.0009965896606445312,0.0,0.0
128,0.3,"{'orientations': 8, 'pixels_per_cell': (16, 16), 'cells_per_block': (2, 2)}",robust,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.17296743392944336,0.03690195083618164,0.03591179847717285,0.001997232437133789,0.0020034313201904297,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 1}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009975433349609375,0.0010094642639160156,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'linear', 'C': 10}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0019910335540771484,0.0,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.001}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.001995563507080078,0.0,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",standard,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009982585906982422,0.0013413429260253906,0.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 1}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0029959678649902344,0.0009942054748535156,1.0,0.0
128,0.3,"{'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (1, 1)}",minmax,"{'kernel': 'linear', 'C': 10}",0.12596654891967773,0.024292945861816406,0.024853944778442383,0.0009958744049072266,0.0009984970092773438,1.0,0.0
