Distances,Angles,Kernel,C,Extraction Time,Training Time,Validation Accuracy
[2],[0.7853981633974483],poly,1,7.903980731964111,0.18208789825439453,0.7117834394904459
[2],[0.7853981633974483],poly,10,7.836540460586548,0.32257080078125,0.7404458598726115
[2],[0.7853981633974483],poly,100,8.219568729400635,1.5442652702331543,0.7579617834394905
[2],[1.5707963267948966],linear,0.1,9.223751783370972,0.1599278450012207,0.6480891719745223
[2],[1.5707963267948966],linear,1,10.440282106399536,0.20280957221984863,0.6512738853503185
[2],[1.5707963267948966],linear,10,7.951573371887207,0.42313671112060547,0.6512738853503185
[2],[1.5707963267948966],linear,100,7.965570449829102,5.100024223327637,0.6512738853503185
[2],[1.5707963267948966],rbf,0.1,10.092582702636719,0.28920745849609375,0.7165605095541401
[2],[1.5707963267948966],rbf,1,8.944891214370728,0.22095704078674316,0.7388535031847133
[2],[1.5707963267948966],rbf,10,7.988519668579102,0.2225353717803955,0.7531847133757962
[2],[1.5707963267948966],rbf,100,8.068726301193237,0.3747129440307617,0.7627388535031847
[2],[1.5707963267948966],poly,0.1,8.185883283615112,0.18909668922424316,0.643312101910828
[2],[1.5707963267948966],poly,1,8.054635763168335,0.18817138671875,0.7085987261146497
[2],[1.5707963267948966],poly,10,8.058699607849121,0.39351630210876465,0.7277070063694268
[2],[1.5707963267948966],poly,100,8.02740216255188,1.8927032947540283,0.7245222929936306
[2],[2.356194490192345],linear,0.1,8.74159026145935,0.1396806240081787,0.7277070063694268
[2],[2.356194490192345],linear,1,10.177984952926636,0.17117619514465332,0.7245222929936306
[2],[2.356194490192345],linear,10,8.049821376800537,0.3799614906311035,0.7181528662420382
[2],[2.356194490192345],linear,100,7.972447395324707,2.0713448524475098,0.7213375796178344
[2],[2.356194490192345],rbf,0.1,7.996248960494995,0.25707507133483887,0.7579617834394905
[2],[2.356194490192345],rbf,1,7.878895282745361,0.2321767807006836,0.7802547770700637
[2],[2.356194490192345],rbf,10,7.761772871017456,0.22655963897705078,0.7914012738853503
[2],[2.356194490192345],rbf,100,8.197639465332031,0.33716416358947754,0.7834394904458599
[2],[2.356194490192345],poly,0.1,8.175919532775879,0.18291664123535156,0.6687898089171974
[2],[2.356194490192345],poly,1,8.016380310058594,0.17427992820739746,0.7420382165605095
[2],[2.356194490192345],poly,10,7.923731327056885,0.28891682624816895,0.7595541401273885
[2],[2.356194490192345],poly,100,7.893913745880127,1.4097836017608643,0.767515923566879
[3],[0],linear,0.1,8.045143127441406,0.10532784461975098,0.7356687898089171
[3],[0],linear,1,7.9155333042144775,0.16122150421142578,0.7308917197452229
[3],[0],linear,10,8.133771657943726,0.29230475425720215,0.7213375796178344
[3],[0],linear,100,8.573824644088745,1.1175894737243652,0.7213375796178344
[3],[0],rbf,0.1,8.023255348205566,0.22179555892944336,0.7468152866242038
[3],[0],rbf,1,7.976197004318237,0.19828510284423828,0.7818471337579618
[3],[0],rbf,10,8.00654149055481,0.2038424015045166,0.7914012738853503
[3],[0],rbf,100,8.172419309616089,0.2593498229980469,0.804140127388535
[3],[0],poly,0.1,8.108312845230103,0.1738755702972412,0.6464968152866242
[3],[0],poly,1,8.436942100524902,0.16211152076721191,0.7229299363057324
[3],[0],poly,10,8.20934510231018,0.40556955337524414,0.7611464968152867
[3],[0],poly,100,8.340262174606323,1.387986183166504,0.7691082802547771
[3],[0.7853981633974483],linear,0.1,7.996410846710205,0.1172635555267334,0.7038216560509554
[3],[0.7853981633974483],linear,1,8.106022357940674,0.1552867889404297,0.7006369426751592
[3],[0.7853981633974483],linear,10,7.95319390296936,0.32727670669555664,0.6990445859872612
